sample	n_processed	n_pseudoaligned	n_unique	p_pseudoaligned	p_unique	n_bootstraps	n_targets	kallisto_version
NS.1574.002.NEBNext_dual_i7_137---NEBNext_dual_i5_137.61cMLR	32570831	23103440	21949117	70.9	67.4	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_138---NEBNext_dual_i5_138.62bMLR	24341141	18128398	17275041	74.5	71.0	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_139---NEBNext_dual_i5_139.63aMLR	20366263	15111104	14407767	74.2	70.7	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_140---NEBNext_dual_i5_140.65cMLR	25830897	19432779	18534892	75.2	71.8	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_141---NEBNext_dual_i5_141.66dMLR	21449917	16048491	15314456	74.8	71.4	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_142---NEBNext_dual_i5_142.67fMLR	21798565	16216595	15486529	74.4	71.0	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_143---NEBNext_dual_i5_143.68eMLR	23891242	18366082	17460002	76.9	73.1	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_144---NEBNext_dual_i5_144.69dMLR	32288528	23983651	22696393	74.3	70.3	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_145---NEBNext_dual_i5_145.70bMLR	22381085	16439730	15599689	73.5	69.7	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_146---NEBNext_dual_i5_146.71eMLR	36606732	27732305	26441247	75.8	72.2	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_147---NEBNext_dual_i5_147.73aMLR	24014241	18234353	17385225	75.9	72.4	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_148---NEBNext_dual_i5_148.74bMLR	36617245	27689773	26357082	75.6	72.0	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_149---NEBNext_dual_i5_149.75fMLR	21248272	16025635	15235412	75.4	71.7	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_150---NEBNext_dual_i5_150.76bMLR	24796587	18389940	17533247	74.2	70.7	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_151---NEBNext_dual_i5_151.77bMLR	19374457	14637738	13976795	75.6	72.1	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_152---NEBNext_dual_i5_152.78eMLR	27145132	20089030	19115356	74.0	70.4	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_153---NEBNext_dual_i5_153.79bMLR	28729279	21342384	20319977	74.3	70.7	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_154---NEBNext_dual_i5_154.80aMLR	22285796	16502780	15703080	74.1	70.5	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_155---NEBNext_dual_i5_155.81dMLR	23574338	18015081	17198951	76.4	73.0	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_156---NEBNext_dual_i5_156.1dFLR	22062003	16739468	15904606	75.9	72.1	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_157---NEBNext_dual_i5_157.2fFLR	16923579	12730057	12158378	75.2	71.8	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_158---NEBNext_dual_i5_158.3bFLR	24338736	18101529	17147846	74.4	70.5	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_159---NEBNext_dual_i5_159.4cFLR	21497866	16173189	15427112	75.2	71.8	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_160---NEBNext_dual_i5_160.5dFLR	20563422	15597080	14836947	75.8	72.2	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_162---NEBNext_dual_i5_162.32fFLR	28376256	20705355	19716518	73.0	69.5	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_163---NEBNext_dual_i5_163.33fFLR	26787156	19605675	18608248	73.2	69.5	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_164---NEBNext_dual_i5_164.34fFLR	19936395	14606614	13949946	73.3	70.0	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_165---NEBNext_dual_i5_165.35bFLR	25090395	18908129	18017763	75.4	71.8	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_166---NEBNext_dual_i5_166.36dFLR	35664150	26161598	24939943	73.4	69.9	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_167---NEBNext_dual_i5_167.38dFLR	28092357	21316129	20186710	75.9	71.9	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_169---NEBNext_dual_i5_169.23fFLR	21076535	15621617	14836003	74.1	70.4	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_170---NEBNext_dual_i5_170.24aFLR	28749957	21826380	20806893	75.9	72.4	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_171---NEBNext_dual_i5_171.25aFLR	27871738	21375013	20297050	76.7	72.8	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_172---NEBNext_dual_i5_172.27cFLR	22161951	16578479	15789625	74.8	71.2	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_173---NEBNext_dual_i5_173.28cFLR	23213856	17477335	16636815	75.3	71.7	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_174---NEBNext_dual_i5_174.29cFLR	21196131	16155192	15347747	76.2	72.4	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_175---NEBNext_dual_i5_175.30bFLR	21417585	14877959	14169078	69.5	66.2	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_176---NEBNext_dual_i5_176.31dFLR	19806817	14902831	14170386	75.2	71.5	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_177---NEBNext_dual_i5_177.14bFLR	32889641	23892719	22729634	72.6	69.1	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_178---NEBNext_dual_i5_178.15aFLR	24918133	18852101	17936861	75.7	72.0	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_179---NEBNext_dual_i5_179.16aFLR	25875155	19589896	18588319	75.7	71.8	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_180---NEBNext_dual_i5_180.17aFLR	21289491	15946334	15254903	74.9	71.7	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_181---NEBNext_dual_i5_181.18aFLR	23355062	17735342	16867143	75.9	72.2	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_182---NEBNext_dual_i5_182.19eFLR	23713364	17757249	16934115	74.9	71.4	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_183---NEBNext_dual_i5_183.20bFLR	24065165	18472986	17650641	76.8	73.3	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_184---NEBNext_dual_i5_184.22eFLR	29235803	21869801	20849820	74.8	71.3	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_185---NEBNext_dual_i5_185.6aFLR	20027447	15158317	14441474	75.7	72.1	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_186---NEBNext_dual_i5_186.7cFLR	20784675	15439370	14684424	74.3	70.7	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_187---NEBNext_dual_i5_187.8aFLR	23068794	17655256	16898873	76.5	73.3	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_188---NEBNext_dual_i5_188.9cFLR	29862383	22571750	21464363	75.6	71.9	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_189---NEBNext_dual_i5_189.10bFLR	23457246	17654864	16901505	75.3	72.1	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_190---NEBNext_dual_i5_190.11bFLR	21849240	16670526	15853261	76.3	72.6	100	37659	0.48.0
