OG,branch,dN,dS
OG0007327.fa.json,Node2,0.0239602792050265,0.0655480391771314
OG0007327.fa.json,Rsag_NChap2_final_00020055_RA_1,0.0405784812969374,0.1110103876102638
OG0007327.fa.json,TX_maternal_00017303_RA_1,0.0515186640844527,0.1409394015347175
OG0007327.fa.json,TX_paternal_00022672_RA_1,0.0045070314490651,0.0123298677560448
OG0007327.fa.json,buc_00014819_RA_1,0.0276506475553893,0.0756437649880758
OG0007500.fa.json,Node3,0.0260789311551308,0.1240174983196135
OG0007500.fa.json,Rsag_NChap2_final_00022597_RA_1,0.0530759327083931,0.252400850185152
OG0007500.fa.json,TX_maternal_00018155_RA_1,0.0024729714672086,0.0117601343764682
OG0007500.fa.json,TX_paternal_00023531_RA_1,0.0091130340622252,0.0433367333874131
OG0007500.fa.json,buc_00028054_RA_1,0.019204861644851,0.091328087129067
OG0013234.fa.json,Node2,0.0165806900873071,0.0910789476577755
OG0013234.fa.json,Rsag_NChap2_final_00021520_RA_1,0.0205638864830308,0.1129589378226283
OG0013234.fa.json,TX_maternal_00026140_RA_1,1.3233727210628201e-10,4.0924067952093504e-10
OG0013234.fa.json,TX_paternal_00028869_RA_1,1.3233727210628201e-10,4.0924067952093504e-10
OG0013234.fa.json,buc_00008452_RA_1,0.015874295491704,0.08719867029538
OG0013413.fa.json,Node2,0.0098100181834582,0.0964065260251349
OG0013413.fa.json,Rsag_NChap2_final_00009102_RA_1,0.0259828927611254,0.2553430972643388
OG0013413.fa.json,TX_maternal_00009034_RA_1,3.077848495180408e-05,0.0003024710816055
OG0013413.fa.json,TX_paternal_00017219_RA_1,0.0076983828142943,0.0756547367454607
OG0013413.fa.json,buc_00005289_RA_1,0.0129414256842646,0.1271799775189185
OG0011694.fa.json,Node2,0.0506833750950693,0.3551494916904073
OG0011694.fa.json,Rsag_NChap2_final_00005238_RA_1,0.0431076110581695,0.3020644565714034
OG0011694.fa.json,TX_maternal_00007750_RA_1,0.0011854184070892,0.0083064859814188
OG0011694.fa.json,TX_paternal_00003189_RA_1,0.0008839884002629,0.0061943000130658
OG0011694.fa.json,buc_00009154_RA_1,0.0373838412410161,0.2619567499062113
OG0013009.fa.json,Node3,0.0185444532182352,0.177974534419829
OG0013009.fa.json,Rsag_NChap2_final_00018488_RA_1,0.0350657739148544,0.3365326932600236
OG0013009.fa.json,TX_maternal_00025310_RA_1,0.0007499671392598,0.0071975728197099
OG0013009.fa.json,TX_paternal_00027962_RA_1,1.3076673193031138e-10,4.2502639612977486e-10
OG0013009.fa.json,buc_00019346_RA_1,0.0192067096106596,0.1843303310411281
OG0011541.fa.json,Node2,0.0398309834634568,0.088779499666758
OG0011541.fa.json,Rsag_NChap2_final_00004746_RA_1,0.1092689759179151,0.2435502256677046
OG0011541.fa.json,TX_maternal_00007143_RA_1,1.2985436683679178e-10,4.34959373101701e-10
OG0011541.fa.json,TX_paternal_00003863_RA_1,0.0022344299336148,0.004980333255611
OG0011541.fa.json,buc_00018988_RA_1,0.057255064629458,0.1276161306901867
